7.401992710423244137e-01,2.173982663683805827e-01,1.830087296089524460e-02,2.868794803900436008e-02
2.173982663683805827e-01,7.157875778752273987e-01,2.868794803900436702e-02,4.497044290986404458e-02
1.830087296089524460e-02,2.868794803900436008e-02,7.405751679778848073e-01,2.179875121261329873e-01
2.868794803900436008e-02,4.497044290986405152e-02,2.179875121261330428e-01,7.167112634128913751e-01
5.843188336677193062e-01,3.478372261894089323e-01,2.928139673743239413e-02,4.590071686240698029e-02
3.478372261894089323e-01,5.452601246003638824e-01,4.590071686240698723e-02,7.195270865578247410e-02
3.321830024476022936e-01,5.207209915078883089e-01,6.296518515389432080e-02,9.870250254296317194e-02
1.561158454049706990e-01,2.447229304641843073e-01,2.455777466684883337e-01,3.849609606610118195e-01
6.296518515389429305e-02,9.870250254296317194e-02,3.334762970460025122e-01,5.227483247568160962e-01
4.590071686240698029e-02,7.195270865578248798e-02,3.487800194018129130e-01,5.467380214606263333e-01
2.928139673743239413e-02,4.590071686240698029e-02,5.849202687646157806e-01,3.487800194018128574e-01
